|     | cinsiyetiniz   |   yaşınız | medenidurum   | mezuniyet   | yaşadığınyer   | bölge       | mesleğiseçmenedeni      | meslekideneyimsüresi   | bakışaçısı      | yurtdışındabulundunuzmu   | bakımverdinizmi   | bakımvermekistermisiniz   | yabancıdilbiliyormusunuz   | kültürkonusundaeğitimaldınızmı   | yurtdışındaçalışmakistermisiniz   | sempozyumkongrekatıldınızmı   | zeka1                  | zeka2                   | zeka3                  | zeka4                   | zeka5                   | zeka6                   | zeka7                  | zeka8                  | zeka9                  | zeka10                 | zeka11                  | zeka12                 | zeka13                 | zeka14                  | zeka15                 | zeka16                  | zeka17                  | zeka18                  | zeka19                 | zeka20                 | duyarlılık1             | duyarlılık2             | duyarlılık3            | duyarlılık4             | duyarlılık5            | duyarlılık6            | duyarlılık7             | duyarlılık8            | duyarlılık9             | duyarlılık10           | duyarlılık11           | duyarlılık12            | duyarlılık13           | duyarlılık14           | duyarlılık15            | duyarlılık16           | duyarlılık17           | duyarlılık18            | duyarlılık19            | duyarlılık20            | duyarlılık21           | duyarlılık22            | duyarlılık23           | duyarlılık24           |
|  30 | kadın          |        44 | evli          | lisans      | il             | karadeniz   | istediğim meslek olması | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | evet                             | evet                              | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım             | kararsızım             | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | kararsızım             | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | katılıyorum            | katılmıyorum            | karasızım              | kararsızım             | katılmıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
|  31 | kadın          |        25 | bekar         | lisans      | il             | içanadolu   | diğer                   | 3-5 yıl                | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | katılıyorum            | kararsızım             | kararsızım             | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | katılıyorum            | katılıyorum             | kararsızım              | katılıyorum            | katılmıyorum            | karasızım              | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum             | kararsızım             | kararsızım             | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | kararsızım             | kararsızım             | kararsızım              | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            |
|  32 | kadın          |        25 | evli          | lisans      | il             | içanadolu   | istediğim meslek olması | 0-2 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılıyorum            | katılıyorum            | katılmıyorum           | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | kararsızım             | katılmıyorum            | kararsızım              | kararsızım              | katılmıyorum           | katılmıyorum           | katılıyorum             | kesinlikle katılmıyorum | kararsızım             | katılmıyorum            | karasızım              | kararsızım             | katılmıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılmıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | kararsızım             | katılıyorum            |
|  33 | kadın          |        25 | evli          | önlisans    | il             | karadeniz   | ailemin isteği          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | kararsızım              | kararsızım             | katılıyorum             | kararsızım              | kararsızım              | katılıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılıyorum             | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılmıyorum            | kararsızım             | katılmıyorum            | karasızım              | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım              | katılıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | kesinlikle katılıyorum | katılmıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılmıyorum            | kesinlikle katılmıyorum | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|  34 | erkek          |        43 | evli          | önlisans    | il             | içanadolu   | kolay iş bulma          | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum            | kararsızım              | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılıyorum | kararsızım             | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | kararsızım             | karasızım               | kararsızım              | kararsızım              | kararsızım             | kararsızım             | katılıyorum             | katılmıyorum            | katılıyorum            | katılmıyorum            | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | kararsızım              | katılmıyorum           | katılıyorum             | katılıyorum            | katılıyorum            |
|  35 | erkek          |        31 | evli          | lisans      | il             | karadeniz   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | hayır             | evet                      | evet                       | evet                             | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım             | kararsızım             | katılıyorum             | kararsızım             | kararsızım             | kararsızım              | katılmıyorum           | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | kararsızım             | kararsızım              | katılıyorum            | kararsızım             | katılmıyorum            | kesinlikle katılıyorum | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | kararsızım              | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            |
|  36 | kadın          |        23 | evli          | lisans      | il             | içanadolu   | ailemin isteği          | 0-2 yıl                | değişmedi       | evet                      | evet              | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılıyorum | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım             | katılıyorum             | kararsızım              | katılıyorum            | kararsızım              | karasızım              | kararsızım             | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum             | kesinlikle katılıyorum  | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            |
|  37 | erkek          |        35 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | evet                          | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | katılıyorum            | karasızım               | katılıyorum             | kararsızım              | kararsızım             | katılıyorum            | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum             | karasızım              | katılıyorum            | kararsızım              | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            |
|  38 | erkek          |        26 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 0-2 yıl                | değişmedi       | hayır                     | evet              | evet                      | hayır                      | evet                             | evet                              | evet                          | kararsızım             | katılıyorum             | kararsızım             | kesinlikle katılmıyorum | katılmıyorum            | kesinlikle katılmıyorum | kararsızım             | kararsızım             | kararsızım             | katılmıyorum           | katılıyorum             | kararsızım             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | kararsızım              | katılmıyorum           | katılıyorum            | katılıyorum             | kesinlikle katılmıyorum | kararsızım             | katılmıyorum            | katılmıyorum           | kararsızım             | katılmıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            |
|  39 | kadın          |        26 | evli          | lisans      | il             | karadeniz   | diğer                   | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | evet                              | evet                          | kesinlikle katılıyorum | kararsızım              | katılıyorum            | katılıyorum             | kesinlikle katılıyorum  | kesinlikle katılmıyorum | katılıyorum            | kararsızım             | kararsızım             | kararsızım             | kararsızım              | katılıyorum            | kararsızım             | katılmıyorum            | katılıyorum            | karasızım               | kararsızım              | katılıyorum             | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | katılıyorum            | kesinlikle katılmıyorum | karasızım              | kararsızım             | kararsızım              | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum            | kesinlikle katılmıyorum | kararsızım             | kesinlikle katılıyorum | kararsızım              | kesinlikle katılıyorum | kesinlikle katılıyorum | katılmıyorum            | kararsızım              | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             |
|  40 | kadın          |        23 | bekar         | lisans      | il             | ege-marmara | istediğim meslek olması | 0-2 yıl                | olumlu değişti  | evet                      | hayır             | evet                      | evet                       | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | katılıyorum             | katılıyorum            | kesinlikle katılmıyorum | katılıyorum            | kesinlikle katılıyorum |
|  41 | kadın          |        22 | bekar         | lisans      | ilçe           | içanadolu   | kolay iş bulma          | 0-2 yıl                | olumlu değişti  | hayır                     | hayır             | evet                      | evet                       | hayır                            | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | kesinlikle katılmıyorum | kararsızım             | katılıyorum             | karasızım              | kararsızım             | katılmıyorum            | kesinlikle katılıyorum | katılıyorum             | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılıyorum             | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
|  42 | kadın          |        23 | bekar         | lisansüstü  | ilçe           | içanadolu   | istediğim meslek olması | 0-2 yıl                | olumlu değişti  | hayır                     | hayır             | evet                      | evet                       | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılmıyorum           | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum            | kesinlikle katılıyorum |
|  43 | erkek          |        24 | bekar         | lisans      | ilçe           | karadeniz   | kolay iş bulma          | 0-2 yıl                | değişmedi       | hayır                     | hayır             | evet                      | evet                       | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | kesinlikle katılıyorum  | kesinlikle katılmıyorum | katılıyorum             | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılıyorum             | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum |
|  44 | kadın          |        27 | bekar         | lisans      | il             | ege-marmara | istediğim meslek olması | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | kararsızım              | kararsızım             | katılıyorum             | katılmıyorum            | kararsızım              | kararsızım             | katılmıyorum           | katılmıyorum           | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | kesinlikle katılmıyorum | katılıyorum            | katılmıyorum            | karasızım              | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım              | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılıyorum             | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım             |
|  45 | kadın          |        42 | evli          | lisans      | il             | içanadolu   | ailemin isteği          | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | kararsızım              | kararsızım             | kararsızım             | kararsızım              | kararsızım             | katılıyorum             | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | kararsızım             | katılmıyorum            | katılıyorum            | kararsızım             | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             |
|  46 | erkek          |        22 | bekar         | ortaöğretim | il             | karadeniz   | ailemin isteği          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | evet                             | hayır                             | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım             | kararsızım             | kararsızım              | kararsızım             | kararsızım             | katılmıyorum            | katılmıyorum           | katılıyorum             | kararsızım              | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | katılmıyorum           | kararsızım              | katılmıyorum           | kararsızım              | kararsızım             | kararsızım             | kararsızım              | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
|  47 | kadın          |        26 | bekar         | önlisans    | il             | karadeniz   | diğer                   | 3-5 yıl                | olumsuz değişti | hayır                     | hayır             | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | kararsızım             | katılmıyorum            | katılmıyorum           | kararsızım              | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kararsızım             | katılıyorum            | katılıyorum            | katılmıyorum           | kararsızım              | kararsızım             | kararsızım             | kesinlikle katılıyorum  | kararsızım             | katılıyorum             | kesinlikle katılıyorum  | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | kararsızım             | katılmıyorum            | katılmıyorum           | kararsızım             | katılıyorum             | kararsızım             | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kesinlikle katılmıyorum | katılmıyorum           | kararsızım              | kararsızım             | kararsızım             |
|  48 | erkek          |        27 | bekar         | ortaöğretim | il             | içanadolu   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | evet                      | evet              | evet                      | hayır                      | evet                             | evet                              | hayır                         | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | katılmıyorum            | kararsızım             | kararsızım             | katılmıyorum           | katılmıyorum           | katılıyorum             | katılmıyorum           | katılıyorum            | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım              | katılmıyorum           | katılmıyorum           | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum           | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | katılıyorum             | katılıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           |
|  49 | kadın          |        36 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım             | kararsızım             | katılıyorum             | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | karasızım               | katılıyorum             | katılıyorum             | kararsızım             | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum             | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | kararsızım             | katılmıyorum            | katılıyorum             | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             |
|  50 | kadın          |        41 | bekar         | lisans      | il             | içanadolu   | diğer                   | 11 yıl ve üzeri        | olumsuz değişti | evet                      | evet              | evet                      | evet                       | hayır                            | hayır                             | hayır                         | katılmıyorum           | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım             | kararsızım             | kararsızım             | katılıyorum             | katılıyorum            | kararsızım             | katılıyorum             | kararsızım             | karasızım               | kararsızım              | kararsızım              | kararsızım             | kararsızım             | katılmıyorum            | katılmıyorum            | kararsızım             | katılmıyorum            | katılmıyorum           | kararsızım             | katılmıyorum            | kararsızım             | katılmıyorum            | kararsızım             | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım             | katılmıyorum            | kararsızım              | kararsızım              | kararsızım             | kararsızım              | kararsızım             | kararsızım             |
|  51 | kadın          |        47 | evli          | lisans      | il             | ege-marmara | diğer                   | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım              | karasızım              | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum             | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
|  52 | kadın          |        33 | bekar         | lisans      | il             | karadeniz   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | evet                             | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | kararsızım             | katılmıyorum            | karasızım              | katılıyorum            | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|  53 | kadın          |        25 | bekar         | lisans      | il             | ege-marmara | istediğim meslek olması | 0-2 yıl                | olumsuz değişti | hayır                     | hayır             | evet                      | hayır                      | evet                             | evet                              | evet                          | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | kararsızım              | katılmıyorum           | katılıyorum            | katılıyorum            | katılıyorum            | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | karasızım               | kararsızım              | kararsızım              | kesinlikle katılıyorum | kesinlikle katılıyorum | katılmıyorum            | kesinlikle katılmıyorum | kararsızım             | kararsızım              | karasızım              | katılmıyorum           | katılmıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            |
|  54 | erkek          |        25 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 0-2 yıl                | olumsuz değişti | hayır                     | hayır             | evet                      | evet                       | evet                             | hayır                             | hayır                         | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum            | katılmıyorum            | katılmıyorum            | kararsızım             | kararsızım             | kararsızım             | kararsızım             | katılmıyorum            | katılmıyorum           | kesinlikle katılıyorum | katılmıyorum            | katılmıyorum           | katılmıyorum            | kesinlikle katılmıyorum | kesinlikle katılmıyorum | katılmıyorum           | katılmıyorum           | kesinlikle katılmıyorum | katılmıyorum            | katılmıyorum           | katılmıyorum            | katılmıyorum           | kararsızım             | kararsızım              | kararsızım             | kararsızım              | kararsızım             | katılmıyorum           | katılıyorum             | kesinlikle katılıyorum | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum           |
|  55 | kadın          |        26 | bekar         | lisans      | ilçe           | içanadolu   | kolay iş bulma          | 3-5 yıl                | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | katılıyorum            | kararsızım             | kararsızım             | katılmıyorum           | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | karasızım               | katılıyorum             | katılıyorum             | kararsızım             | kararsızım             | katılıyorum             | katılmıyorum            | kararsızım             | katılıyorum             | karasızım              | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum             | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum            | kesinlikle katılmıyorum | katılmıyorum            | katılmıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             |
|  56 | erkek          |        36 | bekar         | ortaöğretim | il             | karadeniz   | ailemin isteği          | 11 yıl ve üzeri        | değişmedi       | evet                      | evet              | evet                      | hayır                      | evet                             | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım              | katılmıyorum            | katılmıyorum            | kararsızım             | katılmıyorum           | katılmıyorum           | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kararsızım             | katılmıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | kararsızım             | katılıyorum             | katılmıyorum            | katılıyorum            | kesinlikle katılmıyorum | karasızım              | kararsızım             | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | kesinlikle katılıyorum | katılmıyorum            | kesinlikle katılıyorum | kararsızım             | katılmıyorum            | kararsızım              | katılıyorum             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
|  57 | kadın          |        30 | evli          | lisans      | il             | karadeniz   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | hayır                             | hayır                         | kararsızım             | katılıyorum             | katılıyorum            | katılmıyorum            | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kararsızım             | katılmıyorum           | kararsızım             | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | karasızım               | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılıyorum             | kesinlikle katılmıyorum | katılıyorum            | katılmıyorum            | karasızım              | kararsızım             | katılmıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım             | kesinlikle katılmıyorum | kararsızım              | katılıyorum             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
